Row ID,Battery Life,Beach Name,UMAP-0,UMAP-1,Measurement Timestamp,Turbidity,UMAP-0-0,UMAP-1-1,Water Temperature,Wave Height,Wave Period
144,1,0,-6.65088,51.4694,1403089200,0,12.1927,3.0093,-1,-1,-1
145,1,0,-6.4211,51.9536,1403092800,0,8.64481,14.2094,-1,2,-1
146,1,0,-6.22008,52.4067,1403096400,0,8.97395,-6.84442,-1,0,-1
147,1,0,-6.06424,52.7877,1403100000,0,14.7028,-5.13401,-1,0,-1
148,1,0,-5.93432,53.1392,1403103600,0,-12.0271,-5.2895,-1,1,0
149,1,0,-4.20883,59.7707,1403107200,0,7.6555,-1.14474,-1,1,0
150,1,0,-4.09196,60.0748,1403110800,0,11.4879,-5.66308,-1,1,0
151,1,0,-3.93507,60.4326,1403114400,0,16.1211,5.97422,-1,1,0
152,1,0,-3.71157,60.8886,1403118000,0,6.91951,13.752,-1,2,-1
153,1,0,-3.45609,61.3779,1403121600,0,-3.80634,-4.01974,-1,2,-1
154,1,0,-3.19929,61.8197,1403125200,0,6.55805,-6.65491,-1,1,0
155,1,0,-2.9191,62.2554,1403128800,0,19.7808,-0.633008,-1,2,0
156,1,0,-2.61207,62.6867,1403132400,0,11.1548,-6.58315,-1,2,0
157,1,0,-2.2816,63.1105,1403136000,0,2.18528,16.829,-1,1,0
158,1,0,-1.93506,63.5176,1403139600,0,-0.60908,-8.9163,-1,1,0
159,1,0,-1.57166,63.9125,1403143200,0,5.62584,-7.83722,-1,1,-1
160,1,0,-1.19508,64.2972,1403146800,0,3.029,10.8727,-1,2,-1
161,1,0,-0.811908,64.6747,1403150400,0,17.802,10.5669,-1,2,0
162,1,0,-0.42281,65.0481,1403154000,0,1.83084,10.9043,-1,1,-1
163,1,0,-0.0264314,65.4255,1403157600,0,0.82081,19.0558,-1,1,-1
164,1,0,0.371252,65.8039,1403161200,0,7.94571,12.0845,-1,2,-1
165,1,0,0.764634,66.1782,1403164800,0,0.959365,-8.03242,-1,1,0
166,1,0,1.16154,66.5522,1403168400,0,4.4534,8.07979,-1,1,-1
167,1,0,1.56183,66.9186,1403172000,0,18.3146,-1.44281,-1,1,-1
168,1,0,1.9759,67.274,1403175600,0,-3.99274,17.8872,-1,0,-1
169,1,0,2.40599,67.6079,1403179200,0,18.522,2.175,-1,0,0
170,1,0,2.85202,67.9105,1403182800,0,-3.04124,-7.65598,-1,0,-1
171,0,0,3.32354,68.1713,1403186400,0,-7.75012,8.1482,-1,0,-1
172,1,0,3.81697,68.3844,1403190000,0,14.6068,-5.80556,-1,1,0
173,1,0,4.33431,68.547,1403193600,0,1.12696,10.0472,-1,1,0
174,1,0,4.86176,68.6542,1403197200,0,16.6727,3.34568,-1,1,0
175,1,0,5.38779,68.7076,1403200800,0,11.7919,-8.93079,-1,1,-1
176,1,0,5.9345,68.7146,1403204400,0,7.07692,10.6868,-1,1,-1
177,0,0,6.47971,68.6822,1403208000,0,16.0232,-1.55958,0,1,-1
178,0,0,7.01997,68.6185,1403211600,0,9.63191,-2.46736,0,1,-1
179,1,0,7.55563,68.5311,1403215200,0,18.114,1.07037,0,1,-1
180,1,0,8.09578,68.425,1403218800,0,-11.9381,5.91734,-1,1,-1
181,1,0,8.63745,68.3058,1403222400,0,0.768734,-11.8773,-1,0,-1
182,0,0,9.17161,68.1781,1403226000,0,10.2985,-11.2528,-1,0,-1
183,0,0,9.70253,68.043,1403229600,0,9.43365,7.41664,-1,0,-1
184,1,0,10.2317,67.9017,1403233200,0,7.03272,15.6018,-1,0,-1
185,0,0,10.7567,67.7561,1403236800,0,-9.96987,10.1397,-1,0,-1
186,0,0,11.2791,67.6037,1403240400,0,7.63003,-8.80997,-1,0,-1
187,0,0,11.7935,67.4434,1403244000,0,11.6184,-4.22261,-1,0,-1
188,0,0,12.302,67.2737,1403247600,0,-10.4556,12.2264,-1,0,-1
189,0,0,12.8062,67.0945,1403251200,0,-1.21429,-5.9722,-1,0,-1
190,0,0,13.2829,66.9153,1403254800,0,2.77358,-11.2781,-1,0,-1
191,0,0,13.6904,66.7533,1403258400,0,19.7837,3.78557,-1,0,-1
192,0,0,13.9589,66.6427,1403262000,0,14.0812,15.1957,0,0,-1
193,0,0,14.1358,66.5664,1403265600,0,-9.63707,-3.32283,0,0,-1
194,0,0,53.8711,16.8174,1403272800,0,16.5958,1.23511,0,0,-1
195,0,0,53.8411,16.6306,1403276400,0,-2.42113,18.8966,0,0,-1
196,0,0,53.7903,16.3521,1403280000,0,-2.62247,-11.753,0,0,0
197,0,0,53.7082,15.9306,1403283600,0,16.8609,-0.779505,0,0,-1
198,0,0,53.6099,15.4411,1403287200,0,2.35542,-5.46156,0,0,-1
199,0,0,53.5103,14.9368,1403290800,0,-1.59453,19.2182,0,1,-1
200,0,0,53.4176,14.4333,1403294400,0,18.2587,3.1884,0,1,-1
201,0,0,53.3371,13.9282,1403298000,0,-4.99784,-7.48452,0,1,0
202,0,0,53.2753,13.4288,1403301600,0,-1.189,-7.83799,0,1,-1
203,0,0,53.2353,12.9234,1403305200,0,7.61604,4.34092,0,1,-1
204,0,0,53.2214,12.4204,1403308800,0,-0.940047,-8.33883,0,1,-1
205,0,0,53.2357,11.9145,1403312400,0,5.61674,3.92286,0,1,-1
206,0,0,53.2788,11.4171,1403316000,0,5.43289,17.2993,-1,1,-1
207,0,0,53.3497,10.9226,1403319600,0,16.6447,9.82053,-1,1,-1
208,0,0,53.4451,10.4304,1403323200,0,15.1208,-5.61783,-1,1,-1
209,0,0,53.5606,9.94344,1403326800,0,3.31786,-11.3708,-1,1,-1
210,0,0,53.689,9.46093,1403330400,0,17.0078,10.2448,-1,0,-1
211,0,0,53.825,8.97585,1403334000,0,0.124943,-12.0981,-1,0,0
212,0,0,53.9589,8.49182,1403337600,0,9.24324,-9.56266,-1,0,-1
213,0,0,54.0841,8.00534,1403341200,0,14.805,1.76327,-1,0,0
214,0,0,54.1944,7.51192,1403344800,0,-6.83653,-1.64238,0,0,-1
215,0,0,54.283,7.01996,1403348400,0,14.6096,14.9668,-1,0,-1
216,0,0,54.3485,6.51419,1403352000,0,-2.11801,-11.3086,0,0,-1
217,0,0,54.3899,5.99997,1403355600,0,-7.22183,11.8794,0,0,-1
218,0,0,54.4084,5.48401,1403359200,0,9.41829,-6.85194,0,0,-1
219,0,0,54.409,5.00372,1403362800,0,9.53701,1.41501,0,0,0
220,0,0,54.3993,4.60133,1403366400,0,8.42004,17.1958,0,0,-1
221,0,0,54.3955,4.33864,1403370000,0,-0.333673,-7.97801,0,0,-1
222,0,0,54.3956,4.14924,1403373600,0,-4.50098,-5.99505,0,0,-1
223,0,0,65.7258,-31.2112,1403380800,0,10.1399,-8.91796,0,0,-1
224,0,0,65.6029,-31.352,1403384400,0,9.36503,1.93991,0,1,-1
225,0,0,65.4079,-31.5576,1403388000,0,9.44899,-12.2711,0,1,-1
226,0,0,65.1008,-31.8672,1403391600,0,16.0565,12.7983,0,0,-1
227,0,0,64.7324,-32.226,1403395200,0,15.3598,-0.500924,0,0,-1
228,0,0,64.3422,-32.597,1403398800,0,-10.7945,-3.02287,0,0,2
229,0,0,63.9474,-32.9668,1403402400,0,13.9958,-10.0577,0,0,1
230,0,0,63.5518,-33.335,1403406000,0,8.24198,8.1025,0,0,0
231,0,0,63.1576,-33.7026,1403409600,0,9.55046,-5.52247,0,0,0
232,0,0,62.7647,-34.0711,1403413200,0,-5.99696,16.1685,0,0,-1
233,0,0,62.3724,-34.4417,1403416800,0,2.26302,10.5945,0,0,-1
234,0,0,61.9896,-34.805,1403420400,0,6.25673,18.5177,0,0,-1
235,0,0,61.6166,-35.1582,1403424000,0,10.6141,8.10263,0,0,-1
236,0,0,61.3029,-35.4518,1403427600,0,-1.83382,-10.3395,0,0,-1
237,0,0,61.0456,-35.6864,1403431200,0,9.74585,-2.33968,0,-1,0
238,0,0,53.713,-41.5471,1403434800,0,0.429706,-10.2461,0,-1,0
239,0,0,53.4459,-41.7778,1403438400,0,7.49028,16.7936,0,0,-1
240,0,0,53.117,-42.0682,1403442000,0,11.6443,-5.9831,0,1,-1
241,0,0,52.7311,-42.4183,1403445600,0,-12.2936,0.902562,0,1,-1
242,0,0,52.3384,-42.7876,1403449200,0,8.9143,17.3652,0,1,-1
243,0,0,51.9678,-43.1526,1403452800,0,1.92173,-7.13834,0,1,-1
244,0,0,51.6624,-43.47,1403456400,0,-9.18299,-6.82001,0,0,-1
245,0,0,51.4168,-43.7439,1403460000,0,-2.00845,5.47223,0,0,-1
246,0,0,46.9335,-49.9182,1403463600,0,-7.9535,15.7682,0,0,-1
247,0,0,46.6942,-50.1921,1403467200,0,-1.08088,19.379,0,0,1
248,0,0,46.3944,-50.5121,1403470800,0,-6.52132,16.2212,0,0,0
249,0,0,46.0341,-50.8723,1403474400,0,11.7502,15.3556,0,0,-1
250,0,0,45.6428,-51.2405,1403478000,0,-4.82682,9.53817,0,0,-1
251,0,0,45.2394,-51.5998,1403481600,0,-9.45226,8.25459,0,0,-1
252,0,0,44.83,-51.9479,1403485200,0,-4.72765,9.38091,0,0,-1
253,0,0,44.4105,-52.2902,1403488800,0,9.96287,16.227,0,0,1
254,0,0,43.9898,-52.6202,1403492400,0,-14.5082,1.79235,0,0,1
255,0,0,43.5774,-52.9323,1403496000,0,2.73166,18.0719,0,0,-1
256,0,0,43.1595,-53.2384,1403499600,0,-10.1294,14.59,0,0,-1
257,0,0,42.7039,-53.563,1403503200,0,13.0435,9.27785,0,0,-1
258,0,0,42.2418,-53.8852,1403506800,0,10.2969,-6.92783,0,0,-1
259,0,0,41.8151,-54.1755,1403510400,0,10.4091,-8.65336,0,0,-1
260,0,0,41.3799,-54.4647,1403514000,0,12.0244,3.12827,0,0,-1
261,0,0,40.9344,-54.7543,1403517600,0,-7.14161,-8.36026,0,0,-1
262,0,0,40.4707,-55.0477,1403521200,0,7.52922,-10.5755,0,-1,-1
263,0,0,40.0119,-55.3339,1403524800,0,-0.857214,-7.20866,0,-1,1
264,0,0,39.5654,-55.6044,1403528400,0,-6.94996,15.6195,0,-1,-1
265,0,0,39.1787,-55.8311,1403532000,0,4.29436,-11.2761,0,-1,-1
266,0,0,38.8835,-55.9976,1403535600,0,12.7955,0.781198,0,-1,0
267,0,0,38.6256,-56.1358,1403539200,0,-5.25039,17.0535,0,-1,0
268,0,0,38.1149,-56.3908,1403546400,0,0.311451,-6.60844,0,-1,3
269,0,0,4.25797,-59.8054,1403553600,0,6.9937,1.08962,0,0,1
270,0,0,4.10942,-59.8946,1403557200,0,-10.6618,10.6439,0,0,0
271,0,0,3.8897,-60.0337,1403560800,0,-8.61024,3.33643,0,-1,1
272,0,0,3.5426,-60.2577,1403564400,0,-0.399055,-10.4094,0,-1,1
273,0,0,3.12263,-60.5286,1403568000,0,15.9227,0.962696,0,-1,0
274,0,0,2.6868,-60.8156,1403571600,0,-7.03607,16.3288,0,-1,2
275,0,0,2.24656,-61.1018,1403575200,0,9.47177,7.59379,0,-1,2
276,0,0,1.80579,-61.3839,1403578800,0,-5.05139,-12.2474,0,-1,1
277,0,0,1.36615,-61.6568,1403582400,0,-9.68087,-8.63748,0,-1,1
278,0,0,0.916845,-61.921,1403586000,0,14.1379,16.0059,0,-1,0
279,0,0,0.454298,-62.1724,1403589600,0,17.2988,-4.36354,0,-1,-1
280,0,0,-0.00840333,-62.4088,1403593200,0,12.4617,-10.9446,0,-1,-1
281,0,0,-0.481166,-62.6301,1403596800,0,-9.69475,13.6808,0,-1,-1
282,0,0,-0.960349,-62.8348,1403600400,0,1.70902,10.3694,0,-1,-1
283,0,0,-1.44216,-63.0223,1403604000,0,3.09742,7.96247,0,-1,-1
284,0,0,-1.9311,-63.1943,1403607600,0,-2.70117,16.9738,0,-1,0
285,0,0,-2.42683,-63.3534,1403611200,0,9.89396,16.5682,0,-1,0
286,0,0,-2.91866,-63.4981,1403614800,0,6.35971,17.8063,0,-1,0
287,0,0,-3.4217,-63.6373,1403618400,0,-4.14939,-2.08505,0,0,0
288,0,0,-3.92776,-63.7704,1403622000,0,-4.15846,9.72175,0,0,-1
289,0,0,-4.43194,-63.9011,1403625600,0,-1.1363,-9.64002,0,0,1
290,0,0,-4.93534,-64.0341,1403629200,0,0.390977,4.36067,1,-1,0
291,0,0,-5.43732,-64.1724,1403632800,0,4.64069,9.1647,0,-1,-1
292,0,0,-5.91961,-64.3147,1403636400,0,19.5074,5.72516,0,-1,2
293,0,0,-6.39448,-64.4663,1403640000,0,7.87405,-9.00878,0,-1,1
294,0,0,-6.90799,-64.6441,1403643600,0,-8.85898,6.93645,1,-1,1
295,0,0,-7.41213,-64.833,1403647200,0,2.00772,-6.77004,0,-1,1
296,0,0,-7.8752,-65.0216,1403650800,0,7.67622,18.2364,0,-1,0
297,0,0,-8.33708,-65.2269,1403654400,0,11.4374,2.55098,0,-1,3
298,0,0,-8.81226,-65.4557,1403658000,0,1.8369,-0.38245,0,-1,2
299,0,0,-9.28254,-65.6994,1403661600,0,-7.9867,9.33166,0,-1,1
300,0,0,-9.7521,-65.959,1403665200,0,0.201596,-10.9535,0,0,-1
301,0,0,-10.2146,-66.2302,1403668800,0,-8.3436,-6.93731,0,1,-1
302,0,0,-10.6693,-66.5098,1403672400,0,7.97793,16.4416,0,1,-1
303,0,0,-11.1191,-66.7966,1403676000,0,14.6229,-4.32348,0,1,-1
304,0,0,-11.5527,-67.0786,1403679600,0,-2.9866,9.2569,0,1,-1
305,0,0,-11.9656,-67.3454,1403683200,0,-9.47473,15.7841,0,1,-1
306,0,0,-12.3666,-67.6005,1403686800,0,10.6169,3.00502,0,1,-1
307,0,0,-12.6855,-67.7972,1403690400,0,15.9901,0.789769,0,1,-1
308,0,0,-12.9674,-67.9598,1403694000,0,18.3042,4.59173,0,1,-1
309,0,0,-14.4632,-68.7423,1403701200,0,2.43657,0.818692,0,1,-1
310,0,0,-14.7819,-68.8608,1403704800,0,13.4902,14.5129,0,1,-1
311,0,0,-15.1405,-68.9537,1403708400,0,16.243,2.39598,0,2,0
312,0,0,-15.6083,-69.0304,1403712000,0,15.2488,4.36261,0,2,0
313,0,0,-16.1395,-69.0651,1403715600,0,8.15897,-3.70508,0,2,0
314,0,0,-16.6861,-69.042,1403719200,0,-13.0836,-3.84329,0,2,0
315,0,0,-17.2294,-68.9558,1403722800,0,-0.632461,-9.7838,0,2,0
316,0,0,-17.7483,-68.8008,1403726400,0,2.38043,-12.9874,0,2,-1
317,0,0,-18.2432,-68.5816,1403730000,0,-3.99557,3.8879,0,2,0
318,0,0,-18.7064,-68.2986,1403733600,0,4.60677,-12.8466,0,2,0
319,0,0,-19.125,-67.9557,1403737200,0,0.333841,5.67857,0,2,0
320,0,0,-19.4917,-67.5607,1403740800,0,-8.66657,12.1511,0,1,0
321,0,0,-19.7997,-67.1097,1403744400,0,-4.71446,10.6174,0,1,-1
322,0,0,-20.0349,-66.6224,1403748000,0,14.9884,-3.67068,0,1,0
323,0,0,-20.1912,-66.0975,1403751600,0,10.778,11.1028,0,1,1
324,0,0,-20.2616,-65.5636,1403755200,0,13.7991,-7.89595,0,1,1
325,0,0,-20.2489,-65.0171,1403758800,0,17.9795,3.45667,0,1,1
