Row ID,Battery Life,Beach Name,UMAP-0,UMAP-1,Measurement Timestamp,Turbidity,Water Temperature,Wave Height,Wave Period,u_0_trx,u_1_trx,AscendingManifold,MorseSmaleManifold
170,0.73856,1,-40.89,-24.6625,1401577200,-0.105315,-0.0929033,-0.131128,-0.568405,77,107,44,45
171,1.01299,2,-40.89,-24.6625,1401577200,-0.082236,-0.829937,0.343251,-0.568405,77,107,44,45
172,0.73856,1,-40.7852,-24.7439,1401580800,-0.0994641,-0.063422,-0.0154256,-0.568405,77,107,44,45
173,0.875775,2,-40.7852,-24.7439,1401580800,-0.0838613,-0.947863,0.227549,-1.21327,77,107,44,45
174,0.73856,1,-40.6718,-24.8278,1401584400,-0.10369,-0.122385,-0.165838,-0.568405,77,106,44,45
175,1.01299,2,-40.6718,-24.8278,1401584400,-0.0867868,-0.977344,0.192838,-0.568405,77,106,44,45
176,0.73856,1,-40.5471,-24.9166,1401588000,-0.10564,-0.269791,-0.0501362,-0.568405,77,106,44,45
177,0.875775,2,-40.5471,-24.9166,1401588000,-0.0949133,-1.03631,0.204408,-0.568405,77,106,44,45
178,0.73856,1,-40.4164,-25.0053,1401591600,-0.10304,-0.387717,0.100276,-0.568405,78,106,44,45
179,0.875775,2,-40.4164,-25.0053,1401591600,-0.112466,-1.12475,0.134987,-0.568405,78,106,44,45
180,0.73856,1,-40.2762,-25.0961,1401595200,-0.0994641,-0.476161,-0.0501362,-0.568405,78,106,44,45
181,0.875775,2,-40.2762,-25.0961,1401595200,-0.122218,-1.21319,0.019285,-0.568405,78,106,44,45
182,0.73856,1,-40.129,-25.1872,1401598800,-0.0965386,-0.505642,-0.00385538,-0.568405,78,106,44,45
183,0.875775,2,-40.129,-25.1872,1401598800,-0.13002,-1.24268,-0.142698,-0.568405,78,106,44,45
184,0.73856,1,-39.9788,-25.2757,1401602400,-0.101414,-0.535124,-0.0269958,-0.568405,78,106,44,45
185,0.875775,2,-39.9788,-25.2757,1401602400,-0.13262,-1.30164,-0.235259,-0.568405,78,106,44,45
186,0.73856,1,-39.8244,-25.362,1401606000,-0.103365,-0.535124,-0.0617064,-0.568405,79,106,44,45
187,0.875775,2,-39.8244,-25.362,1401606000,-0.134245,-1.30164,-0.2584,1.3662,79,106,44,45
188,0.73856,1,-39.6656,-25.4466,1401609600,-0.105315,-0.505642,-0.0732766,-0.568405,79,105,44,45
189,0.875775,2,-39.6656,-25.4466,1401609600,-0.136196,-1.27216,-0.26997,-0.568405,79,105,44,45
190,0.73856,1,-39.5052,-25.5275,1401613200,-0.10499,-0.44668,-0.26997,-0.568405,79,105,44,45
191,0.875775,2,-39.5052,-25.5275,1401613200,-0.138471,-1.24268,-0.165838,-0.568405,79,105,44,45
192,0.73856,1,-39.3439,-25.6052,1401616800,-0.10369,-0.387717,-0.547655,-0.568405,79,105,44,45
193,0.875775,2,-39.3439,-25.6052,1401616800,-0.139446,-1.15423,-0.131128,-0.568405,79,105,44,45
194,0.73856,1,-39.1804,-25.6794,1401620400,-0.106615,-0.387717,-0.559225,-0.568405,80,105,44,45
195,0.875775,2,-39.1804,-25.6794,1401620400,-0.139446,-1.09527,0.00771482,-0.568405,80,105,44,45
196,0.73856,1,-39.0128,-25.7517,1401624000,-0.107591,-0.299273,-0.593935,-1.21327,80,105,44,45
197,0.875775,2,-39.0128,-25.7517,1401624000,-0.137171,-1.03631,-0.223689,-0.568405,80,105,44,45
198,0.73856,1,-38.8443,-25.8207,1401627600,-0.108241,-0.210829,-0.663357,1.3662,80,105,44,45
199,0.875775,2,-38.8443,-25.8207,1401627600,-0.138796,-0.977344,-0.212119,-0.568405,80,105,44,45
200,0.73856,1,-38.6754,-25.8864,1401631200,-0.108891,-0.181347,-0.640216,-0.568405,81,105,44,45
201,0.875775,2,-38.6754,-25.8864,1401631200,-0.139771,-0.947863,-0.420382,-0.568405,81,105,44,45
202,0.73856,1,-38.5057,-25.9491,1401634800,-0.111491,-0.210829,-0.709637,-0.568405,81,105,44,45
203,0.875775,2,-38.5057,-25.9491,1401634800,-0.138471,-0.947863,-0.107987,-0.568405,81,105,44,45
204,0.73856,1,-38.3334,-26.0095,1401638400,-0.107591,-0.122385,-0.605506,-1.21327,81,104,44,45
205,0.875775,2,-38.3334,-26.0095,1401638400,-0.136196,-0.947863,-0.339391,-1.21327,81,104,44,45
206,0.73856,1,-38.1611,-26.0669,1401642000,-0.103365,-0.0929033,-0.686497,-1.21327,82,104,32,33
207,0.875775,2,-38.1611,-26.0669,1401642000,-0.134245,-0.947863,0.0539956,0.0764631,82,104,32,33
208,0.73856,1,-37.9869,-26.1219,1401645600,-0.109541,-0.24031,-0.755918,3.3008,82,104,32,33
209,0.875775,2,-37.9869,-26.1219,1401645600,-0.13392,-0.918381,-0.628646,2.01107,82,104,32,33
210,0.73856,1,-37.8148,-26.1734,1401649200,-0.113767,-0.358235,-0.408812,-1.21327,82,104,32,33
211,0.875775,2,-37.8148,-26.1734,1401649200,-0.132945,-0.977344,-0.593935,1.3662,82,104,32,33
212,0.73856,1,-37.6392,-26.2233,1401652800,-0.113117,-0.358235,-0.478233,-1.21327,82,104,32,33
213,0.875775,2,-37.6392,-26.2233,1401652800,-0.132295,-1.00683,-0.790629,0.721331,82,104,32,33
214,0.73856,1,-37.4636,-26.2708,1401656400,-0.114092,-0.358235,-0.825339,-1.21327,83,104,32,33
215,0.875775,2,-37.4636,-26.2708,1401656400,-0.132295,-0.977344,-0.674927,-0.568405,83,104,32,33
216,0.73856,1,-37.2869,-26.3159,1401660000,-0.115717,-0.417198,-0.917901,-0.568405,83,104,32,33
217,0.875775,2,-37.2869,-26.3159,1401660000,-0.135871,-0.947863,-0.732778,-0.568405,83,104,32,33
218,0.73856,1,-37.1131,-26.3582,1401663600,-0.115392,-0.417198,-0.536084,-1.21327,83,104,32,33
219,0.875775,2,-37.1131,-26.3582,1401663600,-0.136196,-0.918381,-0.779059,3.3008,83,104,32,33
220,0.73856,1,-36.9354,-26.3991,1401667200,-0.115392,-0.417198,-0.443523,-1.21327,84,104,32,33
221,0.875775,2,-36.9354,-26.3991,1401667200,-0.135871,-1.00683,-0.744348,2.01107,84,104,32,33
222,0.73856,1,-36.7582,-26.4377,1401670800,-0.116692,-0.44668,-0.547655,-1.21327,84,104,32,33
223,0.875775,2,-36.7582,-26.4377,1401670800,-0.135871,-0.977344,-0.802199,-0.568405,84,104,32,33
224,0.73856,1,-36.5799,-26.4745,1401674400,-0.116367,-0.44668,-0.732778,-1.21327,84,104,32,33
225,0.875775,2,-36.5799,-26.4745,1401674400,-0.136196,-1.00683,-0.802199,-0.568405,84,104,32,33
226,0.73856,1,-36.4031,-26.5091,1401678000,-0.115717,-0.44668,-0.825339,-1.21327,85,104,32,33
227,0.875775,2,-36.4031,-26.5091,1401678000,-0.135871,-0.977344,-0.88319,-0.568405,85,104,32,33
228,0.73856,1,-36.2256,-26.5419,1401681600,-0.117017,-0.476161,-0.83691,-1.21327,85,103,32,33
229,0.875775,2,-36.2256,-26.5419,1401681600,-0.136521,-0.947863,-0.767488,0.0764631,85,103,32,33
230,0.73856,1,-36.0482,-26.5729,1401685200,-0.117667,-0.505642,-0.88319,-1.21327,85,103,32,33
231,0.875775,2,-36.0482,-26.5729,1401685200,-0.13457,-0.947863,-0.84848,0.0764631,85,103,32,33
232,0.73856,1,-35.869,-26.6025,1401688800,-0.118968,-0.505642,-0.732778,-1.21327,86,103,32,33
233,0.875775,2,-35.869,-26.6025,1401688800,-0.137496,-0.918381,-0.87162,-0.568405,86,103,32,33
234,0.73856,1,-35.6926,-26.6296,1401692400,-0.117992,-0.44668,-0.559225,-1.21327,86,103,32,33
