WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Date
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,20.6,999.0,999.0,99.0,99.0,2020/03/15 2000
999,3.6,4.1,99.0,99.0,99.0,999,9999.0,21.0,999.0,999.0,99.0,99.0,2020/03/15 2100
999,3.1,3.1,99.0,99.0,99.0,999,9999.0,21.9,999.0,999.0,99.0,99.0,2020/03/15 2200
999,2.1,3.1,99.0,99.0,99.0,999,9999.0,22.5,999.0,999.0,99.0,99.0,2020/03/15 2300
999,4.6,5.7,99.0,99.0,99.0,999,9999.0,21.6,999.0,999.0,99.0,99.0,2020/03/16 0000
999,5.1,5.7,99.0,99.0,99.0,999,9999.0,22.3,999.0,999.0,99.0,99.0,2020/03/16 0100
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,20.6,999.0,999.0,99.0,99.0,2020/03/16 0200
999,3.6,4.1,99.0,99.0,99.0,999,9999.0,19.4,999.0,999.0,99.0,99.0,2020/03/16 0300
999,5.1,5.1,99.0,99.0,99.0,999,9999.0,19.7,999.0,999.0,99.0,99.0,2020/03/16 0400
999,3.1,3.6,99.0,99.0,99.0,999,9999.0,19.2,999.0,999.0,99.0,99.0,2020/03/16 0500
999,3.6,4.1,99.0,99.0,99.0,999,9999.0,19.1,999.0,999.0,99.0,99.0,2020/03/16 0600
999,2.6,3.1,99.0,99.0,99.0,999,9999.0,19.2,999.0,999.0,99.0,99.0,2020/03/16 0700
999,3.1,4.1,99.0,99.0,99.0,999,9999.0,19.2,999.0,999.0,99.0,99.0,2020/03/16 0800
999,3.1,3.6,99.0,99.0,99.0,999,9999.0,19.5,999.0,999.0,99.0,99.0,2020/03/16 0900
999,1.5,2.6,99.0,99.0,99.0,999,9999.0,19.5,999.0,999.0,99.0,99.0,2020/03/16 1000
999,2.1,2.6,99.0,99.0,99.0,999,9999.0,19.6,999.0,999.0,99.0,99.0,2020/03/16 1100
999,1.5,1.5,99.0,99.0,99.0,999,9999.0,19.4,999.0,999.0,99.0,99.0,2020/03/16 1200
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,18.4,999.0,999.0,99.0,99.0,2020/03/16 1300
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,17.8,999.0,999.0,99.0,99.0,2020/03/16 1400
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,18.4,999.0,999.0,99.0,99.0,2020/03/16 1500
