WSPD,GST,ATMP,Date,Original_Data,UMAP-0,UMAP-1
-1.402360498,-1.430175354,0.041539679,1546977600,1/8/2019 20:00,21.50559,-5.9277754
-1.076864791,-1.248639728,-0.135507909,1546981200,1/8/2019 21:00,21.613934,-5.731714
-0.881567367,-1.097360039,-0.125093345,1546984800,1/8/2019 22:00,21.647713,-5.611861
-1.076864791,-1.097360039,-0.197995293,1546988400,1/8/2019 23:00,21.720982,-5.5183315
-0.881567367,-0.946080351,-0.302140934,1546992000,1/9/2019 0:00,21.741503,-5.32283
-0.393323807,-0.643520973,-0.312555498,1546995600,1/9/2019 1:00,21.753325,-5.169953
-1.076864791,-1.097360039,-0.354213754,1546999200,1/9/2019 2:00,21.72923,-4.9446125
-0.55607166,-0.946080351,-0.385457446,1547002800,1/9/2019 3:00,21.643269,-4.894581
-0.393323807,-0.492241285,-0.364628318,1547006400,1/9/2019 4:00,21.555769,-4.6885896
-0.393323807,-0.643520973,-0.416701138,1547010000,1/9/2019 5:00,21.541132,-4.6755233
0.094919753,-0.15942597,-0.468773958,1547013600,1/9/2019 6:00,21.437405,-4.5422735
-0.393323807,-0.340961596,-0.520846778,1547017200,1/9/2019 7:00,21.30135,-4.4198875
-0.230575953,-0.340961596,-0.531261342,1547020800,1/9/2019 8:00,21.197346,-4.2687607
0.094919753,-0.008146281,-0.593748726,1547024400,1/9/2019 9:00,21.116611,-4.1116476
0.290217177,0.143133408,-0.624992418,1547028000,1/9/2019 10:00,20.974127,-4.0253572
0.094919753,0.143133408,-0.666650674,1547031600,1/9/2019 11:00,20.823124,-3.916974
0.778460738,0.7785081,-0.708308931,1547035200,1/9/2019 12:00,20.709648,-3.7891757
1.299253869,1.383626854,-0.781210879,1547038800,1/9/2019 13:00,20.52639,-3.7925045
1.624749575,1.686186232,-0.854112827,1547042400,1/9/2019 14:00,20.500523,-3.8314579
1.462001722,1.686186232,-0.895771083,1547046000,1/9/2019 15:00,20.383776,-3.8217385
1.624749575,1.686186232,-0.864527391,1547049600,1/9/2019 16:00,20.247847,-3.703426
1.462001722,1.534906543,-0.843698263,1547053200,1/9/2019 17:00,20.083021,-3.637751
0.452965031,0.596972474,-0.802040007,1547056800,1/9/2019 18:00,19.97527,-3.535862
0.290217177,0.294413096,-0.770796315,1547060400,1/9/2019 19:00,19.809975,-3.5881844
-0.0678281,0.445692785,-0.739552623,1547064000,1/9/2019 20:00,19.778976,-3.4286711
0.452965031,0.445692785,-0.708308931,1547067600,1/9/2019 21:00,19.716864,-3.2762656
-0.230575953,0.445692785,-0.708308931,1547071200,1/9/2019 22:00,19.641867,-3.085317
-0.718819514,-0.643520973,-0.729138059,1547074800,1/9/2019 23:00,19.576086,-2.89492
-0.393323807,0.445692785,-0.781210879,1547078400,1/10/2019 0:00,19.508165,-2.6988132
-0.881567367,-0.946080351,-0.843698263,1547082000,1/10/2019 1:00,19.386665,-2.5092614
-0.881567367,-0.946080351,-0.864527391,1547085600,1/10/2019 2:00,19.538834,-2.5243719
0.094919753,0.294413096,-0.885356519,1547089200,1/10/2019 3:00,19.477509,-2.2759273
0.452965031,0.445692785,-0.916600211,1547092800,1/10/2019 4:00,19.43552,-2.165175
0.615712884,0.7785081,-0.958258467,1547096400,1/10/2019 5:00,19.357996,-2.0571275
0.778460738,0.7785081,-0.989502159,1547100000,1/10/2019 6:00,19.255293,-1.8643206
0.615712884,0.596972474,-1.020745851,1547103600,1/10/2019 7:00,19.23297,-1.8327236
0.615712884,0.929787789,-1.051989543,1547107200,1/10/2019 8:00,19.032505,-1.5332007
0.941208591,0.7785081,-1.114476927,1547110800,1/10/2019 9:00,19.141191,-1.5183936
