Row ID,Battery Life,Beach Name,Component_0,Component_1,Component_2,Measurement Timestamp,Turbidity,UMAP-0,UMAP-1,Water Temperature,Wave Height,Wave Period
125,1,0,-13.4617,-25.7622,-10.4681,1403020800,0,7.55642,13.0419,0,-1,-1
126,1,0,-13.6795,-25.9023,-9.95764,1403024400,0,18.3513,8.57579,0,0,0
127,1,0,-13.9263,-26.0237,-9.41634,1403028000,0,-8.34437,12.5165,0,0,-1
128,1,0,-14.1865,-26.1183,-8.87827,1403031600,0,2.61022,10.1481,0,0,2
129,1,0,-14.455,-26.1764,-8.37322,1403035200,0,12.2487,0.512307,0,0,-1
130,1,0,-14.7523,-26.1982,-7.8694,1403038800,0,0.996066,9.99598,0,-1,1
131,1,0,-15.0856,-26.1795,-7.36766,1403042400,0,1.04018,-10.8741,0,0,0
132,1,0,-15.441,-26.1171,-6.88989,1403046000,0,7.67563,18.3915,0,-1,0
133,1,0,-15.8155,-26.01,-6.43588,1403049600,0,3.40918,-7.90373,0,-1,0
134,1,0,-16.1941,-25.8589,-6.01815,1403053200,0,7.28515,12.7855,-1,-1,0
135,1,0,-16.5716,-25.6688,-5.63287,1403056800,0,-3.59583,6.91649,-1,-1,2
136,1,0,-16.9757,-25.4267,-5.25256,1403060400,0,10.316,1.10766,-1,-1,1
137,1,0,-17.3816,-25.1526,-4.8934,1403064000,0,10.2914,11.6663,-1,-1,1
138,1,0,-17.7644,-24.8614,-4.5793,1403067600,0,1.6549,18.8482,-1,-1,1
139,1,0,-18.1511,-24.5311,-4.2774,1403071200,0,17.4818,7.69054,-1,-1,0
140,1,0,-18.5465,-24.1682,-3.98757,1403074800,0,18.535,5.53891,-1,-1,0
141,1,0,-18.9435,-23.7949,-3.72621,1403078400,0,6.14659,8.28613,-1,-1,-1
142,1,0,-19.3371,-23.4045,-3.48018,1403082000,0,17.95,-4.01656,-1,-1,0
143,1,0,-19.7148,-23.0057,-3.24852,1403085600,0,-6.9588,-7.39702,-1,-1,1
144,1,0,-20.0865,-22.5873,-3.03019,1403089200,0,12.1927,3.0093,-1,-1,-1
145,1,0,-20.451,-22.1603,-2.8224,1403092800,0,8.64481,14.2094,-1,2,-1
146,1,0,-20.8037,-21.7405,-2.62521,1403096400,0,8.97395,-6.84442,-1,0,-1
147,1,0,-21.1369,-21.3337,-2.43358,1403100000,0,14.7028,-5.13401,-1,0,-1
148,1,0,-21.4978,-20.893,-2.23369,1403103600,0,-12.0271,-5.2895,-1,1,0
149,1,0,-21.8671,-20.4422,-2.02049,1403107200,0,7.6555,-1.14474,-1,1,0
150,1,0,-22.2062,-20.0333,-1.81843,1403110800,0,11.4879,-5.66308,-1,1,0
151,1,0,-22.546,-19.6319,-1.59932,1403114400,0,16.1211,5.97422,-1,1,0
152,1,0,-22.9109,-19.208,-1.34488,1403118000,0,6.91951,13.752,-1,2,-1
153,1,0,-23.2792,-18.7893,-1.06616,1403121600,0,-3.80634,-4.01974,-1,2,-1
154,1,0,-23.6243,-18.4134,-0.782448,1403125200,0,6.55805,-6.65491,-1,1,0
155,1,0,-23.9766,-18.0333,-0.468095,1403128800,0,19.7808,-0.633008,-1,2,0
156,1,0,-24.3319,-17.6534,-0.127671,1403132400,0,11.1548,-6.58315,-1,2,0
157,1,0,-24.6751,-17.2823,0.225077,1403136000,0,2.18528,16.829,-1,1,0
158,1,0,-25.0123,-16.9093,0.604413,1403139600,0,-0.60908,-8.9163,-1,1,0
159,1,0,-25.3307,-16.551,0.973024,1403143200,0,5.62584,-7.83722,-1,1,-1
160,1,0,-25.6294,-16.1855,1.35889,1403146800,0,3.029,10.8727,-1,2,-1
161,1,0,-25.9229,-15.8032,1.75521,1403150400,0,17.802,10.5669,-1,2,0
162,1,0,-26.1968,-15.4078,2.15646,1403154000,0,1.83084,10.9043,-1,1,-1
163,1,0,-26.4459,-15.0005,2.55715,1403157600,0,0.82081,19.0558,-1,1,-1
164,1,0,-26.6605,-14.5806,2.94949,1403161200,0,7.94571,12.0845,-1,2,-1
