,Unnamed: 0,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,UMAP-0,UMAP-1,UMAP-2
26610,26610,3.0,1501830000.0,1.0,-0.0,0.0,-1.0,0.0,5.198666,0.70884204,0.009951327
21596,21596,3.0,1439416800.0,1.0,-0.0,0.0,1.0,-0.0,-5.295473,3.1267712,8.293092
9744,9744,1.0,1469692800.0,1.0,-0.0,-1.0,2.0,-1.0,9.773673,1.9253032,-2.4554522
39490,39490,5.0,1441119600.0,0.0,-0.0,-1.0,0.0,3.0,13.5574665,0.5964345,8.791518
1071,1071,0.0,1406844000.0,0.0,-0.0,-1.0,-1.0,-4.0,15.54809,5.6431704,0.6937442
13177,13177,2.0,1432058400.0,-2.0,-0.0,1.0,-1.0,1.0,-0.4514144,6.2847486,14.33062
9484,9484,1.0,1468746000.0,1.0,-0.0,2.0,-1.0,0.0,3.5755446,-3.6119764,6.01143
19090,19090,3.0,1405324800.0,-1.0,-0.0,-1.0,1.0,1.0,1.3827368,13.316981,2.0849605
12611,12611,2.0,1407438000.0,1.0,-0.0,2.0,-1.0,-0.0,15.551228,2.5341263,2.0479543
22696,22696,3.0,1466110800.0,-0.0,0.0,2.0,1.0,-0.0,2.1189268,11.766324,-1.7092338
16233,16233,2.0,1466355600.0,0.0,-0.0,-0.0,0.0,-0.0,9.656004,-3.06533,5.8263865
21626,21626,3.0,1439528400.0,1.0,-0.0,-1.0,4.0,-0.0,7.5708733,12.8532915,-2.2594354
10963,10963,2.0,1401343200.0,-2.0,0.0,1.0,0.0,1.0,6.0480537,8.5151415,1.3962699
15845,15845,2.0,1464840000.0,-2.0,-0.0,-1.0,0.0,1.0,9.035704,1.9756273,9.03905
38612,38612,5.0,1435881600.0,-0.0,0.0,2.0,0.0,-0.0,14.12974,6.427733,8.198547
7109,7109,1.0,1438398000.0,1.0,-0.0,-1.0,0.0,-0.0,8.796254,14.591455,5.454639
25948,25948,3.0,1499378400.0,1.0,-0.0,0.0,-1.0,-0.0,8.415221,4.0642667,4.814716
1274,1274,0.0,1432533600.0,-2.0,-0.0,-1.0,-1.0,0.0,5.1226344,13.475362,13.240446
11163,11163,2.0,1402070400.0,-0.0,-0.0,-1.0,1.0,1.0,6.7207828,5.42148,-0.76922035
3587,3587,1.0,1402048800.0,-0.0,-0.0,-1.0,1.0,0.0,7.624762,6.61795,-0.1763732
38780,38780,5.0,1436518800.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.33617368,9.921841,-2.3428938
20244,20244,3.0,1434121200.0,-1.0,-0.0,1.0,0.0,2.0,8.823623,13.188518,11.8122425
17122,17122,2.0,1469869200.0,1.0,-0.0,3.0,1.0,-1.0,10.115834,11.936396,4.6020365
27467,27467,3.0,1505066400.0,0.0,-0.0,0.0,-1.0,-1.0,0.32611534,8.661658,7.4137073
15612,15612,2.0,1441605600.0,-2.0,-0.0,-1.0,3.0,-0.0,4.8225894,13.959071,-3.399064
14426,14426,2.0,1436947200.0,-0.0,0.0,3.0,2.0,0.0,13.739483,5.7863665,-0.5949125
25642,25642,3.0,1498258800.0,-0.0,-0.0,0.0,-1.0,1.0,5.0979567,8.060221,6.2670937
15210,15210,2.0,1439992800.0,-1.0,-0.0,-1.0,3.0,1.0,-1.3203388,7.096503,-3.4185066
36587,36587,4.0,1439348400.0,1.0,0.0,1.0,-1.0,1.0,7.4030967,9.963725,-5.5191298
15304,15304,2.0,1440414000.0,-2.0,-0.0,-1.0,3.0,1.0,12.420775,1.1463885,5.916796
39861,39861,5.0,1442624400.0,-0.0,-0.0,-1.0,3.0,0.0,6.799514,8.643507,-3.328287
24972,24972,3.0,1495738800.0,-2.0,0.0,0.0,-1.0,0.0,-0.41028264,-1.7836046,11.511197
2478,2478,0.0,1437912000.0,1.0,-0.0,0.0,-1.0,-0.0,-1.4590108,10.528435,8.122506
2542,2542,0.0,1438156800.0,0.0,-0.0,-1.0,2.0,-1.0,-3.6170511,-0.009818807,-1.5250202
791,791,0.0,1405562400.0,-0.0,-0.0,0.0,1.0,1.0,13.972496,11.662994,-0.5011186
9808,9808,1.0,1470024000.0,1.0,-0.0,0.0,-1.0,-1.0,4.134102,10.072456,10.9559145
4646,4646,1.0,1406016000.0,-0.0,-0.0,-1.0,2.0,1.0,-4.0162296,11.135494,10.699835
2547,2547,0.0,1438297200.0,1.0,-0.0,-1.0,-1.0,-1.0,-3.9131417,4.3643737,10.381825
14848,14848,2.0,1438646400.0,1.0,-0.0,0.0,1.0,-1.0,-4.1457915,2.292374,9.326998
27158,27158,3.0,1503903600.0,1.0,-0.0,0.0,-1.0,1.0,1.8932003,7.206344,7.8210073
20233,20233,3.0,1434078000.0,-1.0,-0.0,0.0,1.0,2.0,1.6427915,8.797551,9.715745
25829,25829,3.0,1498942800.0,0.0,-0.0,0.0,-1.0,0.0,5.802404,0.94834536,2.8305476
16908,16908,2.0,1469091600.0,-1.0,-0.0,-1.0,0.0,0.0,8.476229,12.583734,4.3846126
20081,20081,3.0,1409018400.0,1.0,1.0,-1.0,1.0,-2.0,-5.9742756,0.0974685,1.8181679
37212,37212,5.0,1402617600.0,-1.0,-0.0,0.0,-1.0,1.0,-0.48203102,-3.874804,0.021576656
17873,17873,2.0,1472630400.0,1.0,-0.0,3.0,1.0,-0.0,-0.00478205,-0.40846515,-0.835711
34971,34971,4.0,1409378400.0,1.0,-0.0,0.0,-1.0,-2.0,9.06618,5.549714,-0.39946333
8277,8277,1.0,1442847600.0,0.0,-0.0,-1.0,-1.0,-1.0,15.616997,6.0948954,1.9616891
6551,6551,1.0,1436238000.0,0.0,-0.0,-1.0,1.0,1.0,10.136889,4.156862,12.702356
27067,27067,3.0,1503561600.0,1.0,-0.0,0.0,-1.0,1.0,1.4052871,8.4892025,6.5855994
18568,18568,3.0,1403344800.0,-1.0,-0.0,-0.0,0.0,0.0,0.55089116,13.2095175,11.254041
34311,34311,4.0,1406808000.0,-0.0,0.0,-1.0,0.0,0.0,10.4901705,-2.8656213,9.704866
36849,36849,4.0,1440381600.0,-2.0,2.0,-1.0,0.0,-0.0,6.580302,9.250751,-5.528454
35234,35234,4.0,1433066400.0,-3.0,4.0,4.0,2.0,-0.0,10.340421,10.595792,5.371777
38243,38243,5.0,1434405600.0,-1.0,-0.0,-1.0,1.0,1.0,5.884583,-3.4217715,1.2155901
20979,20979,3.0,1436918400.0,-0.0,0.0,2.0,2.0,-1.0,9.693143,3.0401616,11.80858
25024,25024,3.0,1495929600.0,-2.0,-0.0,0.0,-1.0,0.0,-2.0683148,0.31276888,11.456868
3923,3923,1.0,1403258400.0,-0.0,-0.0,-1.0,-1.0,-0.0,0.10055694,-0.4480081,0.96886176
16024,16024,2.0,1465549200.0,-1.0,-0.0,-1.0,-1.0,0.0,0.049206987,7.8601823,9.656246
32060,32060,3.0,1568178000.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.28309527,6.3366995,0.27791965
32194,32194,3.0,1594159200.0,2.0,-0.0,0.0,-1.0,0.0,2.7946954,4.5421658,7.9721785
35629,35629,4.0,1434538800.0,-1.0,-0.0,1.0,-1.0,-1.0,13.928356,9.800095,2.762249
30170,30170,3.0,1561273200.0,-1.0,-0.0,-1.0,2.0,-0.0,10.255781,2.2737558,2.5686944
32611,32611,3.0,1625832000.0,0.0,-0.0,1.0,0.0,1.0,7.952583,9.187248,3.2127957
33419,33419,4.0,1403452800.0,-1.0,-0.0,-0.0,-1.0,1.0,-3.1259692,9.02345,10.260956
26847,26847,3.0,1502708400.0,1.0,-0.0,0.0,-1.0,-1.0,3.9238768,3.3277347,-0.23554337
